"11","1","81683096","1","2016-06-29 21:50:00","CANALES BLOQUEADOS ","CLIENTE INDICA QUE TIENE 10 CANALES BLOQUEADOS ","1","SE REALIZA RESET DEL EQUIPO","SE INGRESA CONTRASEÃ±A GENERICA 0000","SE VALIDA INGRESO AL CANAL ","SE INGRESA A CONFIGURACION ","BLOQUEO DE CANALES Y SE QUITAN LOS CANALES DE LA LISTA ","SE VALIDA QUE LOS CANALES YA NO ESTAN BLOQUEADOS ","NULL","3","1","SE QUITARON DE LÃ±A LISTA LOS CANALES BLOQUEADOS","SE VALIDO QUE AL HACER EL CANALEO YA NO PEDIA CLAVE DE DESBLOQUEO ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","EIQ2201A","BRM "
"12","1","65593493","2","2016-06-29 22:39:00","NO PERMITE INGRESO ","ABRE LA APLICACIÃ³N EN OTROS DISPOSITIVOS PERO EN EL DECO NO PERMITE INGRESO","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VALIDACIÃ³N EN OTROS DISPOSITIVOS","VALIDAR IP ","VALIDACIÃ³N DE CORREO ELECTRONICO","NULL","NULL","NULL","NULL","SE GENERO ESCALAMIENTO AL AREA DE SERVICE DESK","EIQ9537A","BRM WEB CENTER"
"13","1","48241285","1","2016-07-02 13:01:00","AUSENCIA DE CANALES","SUSCRIPTOR REPORTA WQUE NO PAARECE EL CANAL GOLDEN PREMIER HD EN DECO NAGRA","1","CLIENTE REPORTA AUSENCIA DE CANAL","NULL","NULL","NULL","NULL","NULL","NULL","3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL"," RETIRE LA TARJETA DEL DECODIFICADOR","DESCONECTE EL DECODIFICADOR DE LA TOMA ELÃ©CTRICA POR 10 SEGUNDOS","CONECTE NUEVAMENTE EL DECODIFICADOR A LA TOMA ELÃ©CTRICA.","INSERTE LA TARJETA INTELIGENTE EN EL DECODIFICADOR","REALICE EL ENVIÃ³ DEL COMANDO DE MANTENIMIENTO REFRESH, ","REINICIO DE FÃ¡BRICA ","NULL","Ã¡REA DE EXPERTOS","EIQ3581A","BRM WEB CENTER"
"14","1","70398904","3","2016-07-02 21:57:00","INTERMITENCIA EN TV Y NO PERMITE INGRESO A CLAROVIDEO ","NTERMITENCIA EN TV Y NO PERMITE INGRESO A CLAROVIDEO ","1","INTERMITENCIA EN TV Y NO PERMITE INGRESO A CLAROVIDEO ","NULL","NULL","NULL","NULL","NULL","NULL","3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NTERMITENCIA EN TV Y NO PERMITE INGRESO A CLAROVIDEO ","SE VALIDA MTA DESENGANCHADO","VECINOS CON MISMA FALLA ","SE REPORTA EDIFICIO POR GERENCIA ","NULL","NULL","NULL","SE REPORTA EDIFICIO POR GERENCIA ","EIQ6662A","WEB CENTER BRM"
"15","1","54411913","1","2016-07-03 13:27:00","DECODIFICADOR SIN SEÃ±AL ","CLIENTE INDICA QUE SU DECODIFICADOR ESTA BLOQUEADO ","1","IMAGEN EN NEGRO ","NO RESPONDE A NINGUN COMANDO DEL CONTROL ","NO SALE NINGUN CANAL ","NULL","NULL","NULL","NULL","3","1","SE REALIZA RESET DEL SISTEMA","SE REALIZA RESET FISICO ","SE SACA LA TARJETA ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","EIQ2201A","BRM"
"16","1","77744175","1","2016-07-04 17:24:00","FALLAS EN EL CONTROL REMOTO UNIVERSAL 2","FALLAS EN EL CONTROL REMOTO UNIVERSAL 2 NO TOMA FUNCIONES DE NINGÃŠN TIPO CON EL DECO ","1","FALLAS EN EL CONTROL REMOTO UNIVERSAL 2 NO TOMA FUNCIONES DE NINGÃŠN TIPO CON EL DECO ","NULL","NULL","NULL","NULL","NULL","NULL","3","1","SE REALIZA PROCESO CCAA","SE REINICIA DECO","SE CONFIRMA SERVICIO OK","CONTROL FUNCIONA DE MANERA CORRECTA SEÃ‘AL DE TV OK ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","EIQ6662A","WEB CENTER BRM"
"17","1","70398904","1","2016-07-04 19:21:00","AUSENCIA DE CANALES","INDICA QUE CIERTOS CANALES NO APARECEN Y SOLICTAN PIN","1","CIERTOS CANALES NO APARECEN Y SOLICTAN PIN","DIGITA LOS 4 CEROS SEÃ±AL OK","NO ES PERMANENTE, SI CANBIA DE CANAL Y REGRESA AL ANTERIOR VUELVE A SOLICITAR PIN","NULL","NULL","NULL","NULL","3","1","SE REALIZA SOPORTE A USUARIO NAGRA PARA BLOQUEO / DESBLOQUEO DE CANALES,","SE CONFIRMA SEÃ±AL OK YA NO PIDE PIN ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","EIQ6662A","WEB CENTER BRM"
"18","1","3927977","1","2016-07-13 20:12:00","FALLAS CON LA IMAGEN EN ALGUNO CANALES","COLABORADOR REPORTA QUE EN ALGINO CANALES LA IMAGEN NO SALE CONPLETA EN LA PANTALLA ","1","FALLA EN ALGUNO CANALES CON LA IMAGEN","EN ALGUNO CANALES NO APARECE LA IMAGEN COMPLETA EN EL TELEVISOR","NULL","NULL","NULL","NULL","NULL","3","1","SE VALIDA CONFIGURACION DEL DECO Y REGISTRA EN 16.9","SE SIGUE SOPORTE SEGUN CCAA","SE LE INFORMA QUE EL INCONVENIENTE QUE REPORTA ES CONFIGURACION DEL DECO ","SE VALIDA SEÃ‘AL OK ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","EIQ3843A","BRM WEB CENTER"
"19","1","81683096","1","2016-07-14 07:17:00","MENSAJE DE ERROR NO HAY SEÃ±AL DETECTADA","TT REPORTA A TRAVEZ DEL WHATSAPP DESDE ANOCHE NO TIENE SEÃ±AL EN TV NAGRA GENERA MENSAJE DE ERROR ""NO HAY SEÃ±AL DETECTADA"" ","1","MENSAJE DE ERROR NO HAY SEÃ±AL DETECTADA","NULL","NULL","NULL","NULL","NULL","NULL","3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","MENSAJE DE ERROR NO HAY SEÃ±AL DETECTADA","SE SOLICITA DESCONECTAR DECO DE LA CORRIENTE ","INICIA DECO, CARGA LOGO DE CLARO Y VUELVE A SALIR EL MENSAJE DE ERROR","SE TOMA PRINT DEL MENSAJE ","SE ESCALA A EXPERTOS PARA VALIDACIÃ³N DE FALLA","NULL","NULL","ÃREA DE EXPERTOS ","EIQ6662A","BRM WEB CENTER"
"20","1","77744175","1","2016-07-14 07:39:00","MENSAJE DE ERROR NO HAY SEÃ±AL DETECTADA","SUSCRIPTORA INDICA ERROR EN LA MAÃ±ANA, CLARO VIDEO FUNCIONA NORMAL, PERO INGRESA A LA OPCIÃ³N DE TV Y APARECE EL MENSAJE DE ERROR.","1","MENSAJE DE ERROR NO HAY SEÃ±AL DETECTADA EN OPCIÃ³N DE TV","CLARO VIDEO FUNCIONA CORRECTAMENTE","NULL","NULL","NULL","NULL","NULL","3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SE BRINDA SOPORTE CCAA, DESCONECTAR DE LA CORRIENTE","SE ENVIA COMANDO REFRESH","INICIA DECO, CARGA LOGO DE CLARO Y VUELVE A SALIR EL MENSAJE DE ERROR","NULL","NULL","NULL","NULL","ÃREA DE EXPERTOS","EIQ6662A","BRM WEB CENTER"
"21","1","81527210","1","2016-07-14 09:07:00","MENSAJE DE ERROR NO HAY SEÃ±AL DETECTADA","SUSCRIPTOR INDICA DECO NAGRA SIN SEÃ±AL EN LA OPCIÃ³N DE TV, CLARO VIDEO FUNCIONA DE MANERA CORRECTA, SE VALIDAN CUENTAS ANTERIORES CON MISMA ","1","MENSAJE DE ERROR NO HAY SEÃ±AL DETECTADA EN OPCIÃ³N DE TV","CLARO VIDEO FUNCIONA CORRECTAMENTE","SE VALIDAN OTRAS CUENTAS REPORTADAS CON MISMO SINTOMA ","NULL","NULL","NULL","NULL","3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SE BRINDA SOPORTE CCAA, DESCONECTAR DE LA CORRIENTE","NO SE ENVIAN COMANDOS SE VALIDAN CUENTAS REPORTADAS CON MISMO ERROR","INICIA DECO, CARGA LOGO DE CLARO Y VUELVE A SALIR EL MENSAJE DE ERROR","SE VALIDA AVISO GENERADO A LA TECNOLOGÃ­A NAGRA POR MENSAJE NO HAY SEÃ±AL DETECTADA?? ERROR T01 NÂ° 2100146632","NULL","NULL","NULL","ÃREA DE EXPERTOS","EIQ6662A","BRM WEB CENTER"
"22","1","3927977","1","2016-07-15 18:45:00","FALLAS CONTROL REMOTO","COLABORADOR REPORTA QUE NO LE FUNCIONA EL CONTROL REMOTO ","1","CONTROL DESCONFIGURADO","NULL","NULL","NULL","NULL","NULL","NULL","3","1","SE VALIDADO CONTROL UNIVERSAL 1","RE REALIZA CONFIGURACION MANUAL DEO CONTROL REMOTO ","TITULAR CONFIRMA SERVICIO OK ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","EIQ3843A","BRM WEB CENTER"
"23","1","15780067","2","2016-07-27 08:11:24","ERROR LIMITE DE DISPOSITIVOS","COLABORADOR REPORTA QUE NO PUEDE CONECTAR MAS DE UN DISPOSITIVO A CLARO VIDEO","1","ERROR LIMITE DE DISPOSITIVOS",,,,,,,"3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SE BRINDA SOPORTE CCAA, DESCONECTAR DE LA CORRIENTE",,,,,,,"ÁREA DE EXPERTOS","EIQ6662A","BRM WEB CENTER"
"24","1","3927977","2","2016-07-27 08:13:15","ERROR LIMITE DE DISPOSITIVOS","CLIENTE REPORTA QUE NO PUEDE CONECTAR EL CLARO VIDEO","1","ERROR LIMITE DE DISPOSITIVOS",,,,,,,"3","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SE BRINDA SOPORTE CCAA, DESCONECTAR DE LA CORRIENTE",,,,,,,"ÁREA DE EXPERTOS","EIQ6662A","BRM WEB CENTER"
