"1";"FALLA EN TELEVISIÓN";"1"
"2";"FALLA EN CLARO VIDEO";"1"
"3";"FALLA EN TELEVISIÓN Y CLARO VIDEO";"1"
"4";"OTRAS FALLAS";"1"
